,ug_review,Оценка,Категория,Запрещенные слова
0,Отлично,2.0,,
1,"Ужасно. Продавцы не хорошие люди, сначала подтвердят заказ, а потом пишут, что товара уже нет в наличии, такое чувство, что где-то на стороне своим толкают",0.0,1.0,
2,"Не работает с сотовой сетью,но при переключении на wi-fi начинает работать.Сделайте уже что-нибудь,исправьте эту ошибку!",0.0,0.0,
3,"С последними обновлениями стало сильно лучше:) уффф, бывает оплата не проходит, помогает принудительная остановка приложения и повторный запуск. Тогда приложение открываются, все карты на месте и оплата снова работает.",1.0,2.0,
4,"Много ""неудобностей"". Например, в групповом чате не видно, кто прочитал сообщение. Фотография может дойти до адресата далеко не сразу. После всем известных мессенджеров особенно заметны различия",0.0,0.0,
5,"Отличный банк, никогда небыло проблем.",2.0,,
6,"Рекомендую, приложение для заработка очень хорошее. Вывод на киви кошелёк 🥝",2.0,,
7,"Очень особенное и красивое приложение для погашения долгов. Я рекомендую его другим. Оно заслуживает пяти звезд, потому что это очень великолепие, творчество и превосходство в этой области благодаря разработчикам",2.0,,
8,Одно из лучших!,2.0,,
9,"Здравствуйте! Как связаться с оператором? Зарегистрироваться не возможно, постоянно выдает ошибку""неверные данные"". ",0.0,0.0,
10,В Германии  на смартфоне не работает сделайте  это,0.0,0.0,
11,"Топ игра, легенда.",2.0,,
12,"Очень хороший банк,сотрудники вежливые и внимательные",2.0,,
13,Как можно с вами связаться?забыл имя аккаунта для входа?,1.0,0.0,
14,"Вы чо разрабы, с каких пор приложение ваше требует Google сервисы установленные, было же все нормально, обновилось и все перестало работать.",0.0,0.0,
15,"Скачал только из-за того, что через интернет браузер не открывает...выдает постоянно ошибку",0.0,0.0,
16,"Доставка озон ужасная!!!  Вытащили очки,футляр оставили. Вентилятор в мокрой упаковке пришёл. Отказ за хреновое отношение к людям!!! Ещё и сроки  доставки нарушают!!!  Навязывают, свою карту ""озон ""Без неё ценник получается выше...Обман и Шантаж людей!!!",0.0,1.0,
17,"Когда нечем заняться, в самый раз пошевелить мозг. =)",2.0,,
18,"Отличное приложение, много интересных и смешных картинок, пять баллов",2.0,,
19,Здравствуйте. Возможно ли добавить ещё одного участника смен? Что бы наглядный график смен для двоих,1.0,0.0,
20,"ПО сырое,функции 4 не настроить,работает так себе как само изделие под номером 03",0.0,0.0,
21,Muy buena,2.0,,
22,Крутая игрушка,2.0,,
23,"У них первых обнаружил, что должно было быть у вайберрис сделано давным давно: списки, отправка и совместное редактирование списков. Да и со скоростью, поиском, допинформацией проблем не обнаружил. Молодцы! Не верил в вас.",2.0,,
24,Игрушка огонь часов на 10 в неё залип))),2.0,,
25,"При обновлении пишет ""ошибка синтаксического анализа""",0.0,0.0,
26,Исчезло содержимое портфеля!,0.0,0.0,
27,"Часто нет соединения с сервером! Из-за этого убивают, а когда появляешься и возвращаешься в то место, то твой труп пропадает и всё что копил тоже! Вынуждают на донат!",0.0,0.0,
28,"Нахрена вам кнопка ""не звонить"" если вы все равно начинаете наяривать на телефон, то курьеры то голосовые помощники будь они не ладны?",0.0,0.0,
29,"Дорабоьайте возможность выбирать какое лицо редактировать на фото, если, например, фото групповое. В остальном пока устраивает",1.0,0.0,
30,"Стало работать стабильно , андроид 12 , OnePlus Nord 2",2.0,1.0,
31,"Не можем списать бонусы, кажется что-то случилось. Жуткие тормоза и такой итог.",0.0,1.0,
32,"Убавьте цену до 100 рулей, убрать рекламу навсегда. 900 рублей это слишком дорого.",0.0,2.0,
33,,1.0,,
34,,1.0,,
35,,1.0,,
36,Не работает сбер йди. Говно приложение,0.0,1.0,Да
37,Невозможно зайти в приложение,0.0,0.0,
38,Меня всё устраивает. 👍,2.0,1.0,
39,Из 28 камер Новосибирска работает только 2. Зачем оно вообще нужно такое приложение. Удаляю!,0.0,0.0,
40,"Отличное приложение, пользуюсь им уже четыре месяца и не разу не было проблем с записью к врачам) Всё доступно и понятно, разработчики молодцы)",2.0,1.0,
41,Лучшее приложение в сегменте. Вот такими и должны быть отечественные разработки мирового уровня! Намного лучше всех зарубежных аналогов!!!,2.0,0.0,
42,Хорошее приложение,2.0,1.0,
43,Удобное приложение!,2.0,1.0,
44,"При обновлении пишет что недостаточно памяти, хотя памяти достаточно",0.0,1.0,
45,Вообще не скачивается ужас,0.0,0.0,
46,"Не пришло смс, не могу войти в личном кабинете",0.0,0.0,
47,"Луганская народная Республика код 181, Донецкая народная республика код 180.",1.0,,
48,Обновил приложение........что за ерунда? Почему на английском языке наша почта??,0.0,0.0,
49,Все отлично. Развивайтесь!,2.0,0.0,
50,"Вот честное слово, не понимаю прикола. Зачем выкладывать в разные источники не совместимые версии??? Технических препятствий для совместимости нет.",0.0,0.0,
51,"Пушка, гонка, самолет. Хочешь потерять свой рот? Выбирай китай-народ",1.0,,
52,"Нет стабильности в просмотре фильмов. Постоянно слетает на ошибку, либо вообще не грузится. За что деньги плачу не знаю.",0.0,0.0,
53,На Сяоми ми 11 T pro перестал работать,0.0,0.0,
54,"Удалили из приложения пункт ""транспорт""",1.0,0.0,
55,"Замечательное приложение, пользуюсь ещё с f-droid. Разработчик молодец, спасибо!",2.0,0.0,
56,Обновить автоматически не даёт.,0.0,0.0,
57,Жулики! за возврат брака берут деньги!!,0.0,,
58,"Отличное обновление, которое принесло такой нужный фильтр отзывов по выбранному товару среди кучи разных например цветов товара",2.0,0.0,
59,"Поистине, легенда. Очень жду поддержки FTP/SFTP/WebDAV.",2.0,0.0,
60,Супер,2.0,,
61,Не работает!!!!!,0.0,,
62,Приложение постоянно вылетает.,0.0,0.0,
63,Теперь работает. После обновления стало работать. Рекомендую!,2.0,0.0,
64,"Нахожусь в Сочи, показывает что я в Москве, проблема у многих такая",0.0,,
65,Не поворачивается в горизонтальное положение,0.0,,
66,спасибо,2.0,,
67,Добавить темную тему и будет хорошо,1.0,0.0,
68,"Добавить темную тему сайтов, и будет хорошо",1.0,0.0,
69,"Здравствуйте! Почему объем приложения здесь в два раза больше, чем в Гугл Плэй? И загруженное в РуСторе приложение запрашивает обновление через Гугл?",0.0,0.0,
70,"Вы что издеваетесь над людьми, ввела все данные при входе в приложение,пишут ошибка авторизации и так несколько раз",0.0,1.0,
71,Тупит страшно. Так и не смог вызвать такси. И судя по отзывам это к лучшему.,0.0,1.0,
72,Оплата происходит не картой по умолчанию,0.0,2.0,
73,Маловата дают кеша,0.0,1.0,
74,Кометатор отстой влезает вообще куда не попаде,0.0,0.0,
75,Когда Маримбу почините?,1.0,,
76,При входе в приложение ошибка синхронизации учетных записей 10004,0.0,0.0,
77,Может сам журнал и хорош. Но не открывается.,0.0,0.0,
78,Само приложение хорошее. Но почему то обновление не обновляется. Требует сначала удалить старую версию фигня какая то. Исправьте пожалуйста,2.0,0.0,
79,"Почему после установки обновления слетели все учётные данные, при попытке войти выдает что неверно указан пароль! Разочарован",0.0,0.0,
80,Что с приложением включается выбираю фильм нажимаю просмотр и оно вылетает,0.0,0.0,
81,Это просто не возможно смотреть.,0.0,,
82,Бонусы не приходят.,0.0,,
83,"Приложение супер, удобно вести счёт, ничего не отвлекает",2.0,0.0,
84,"Пользуюсь давно стрелкой, спасала не раз",2.0,2.0,
85,Обновлённое приложение тупо не открывается. Старое работало,0.0,0.0,
86,Отличное приложение!,2.0,0.0,
87,"Тупит, работает через раз.",0.0,,
88,Хорошее приложение все работает отлично,2.0,0.0,
89,"Очень часто переносится доставка на несколько дней, заказы задерживаются и становятся не актуальными и ненужными потому что, такой же товар я за это время успеваю преобрести на другом маркетплейсе!!!",0.0,1.0,
90,Предложение вылетает при выборе документа на стадии регистрации,0.0,0.0,
91,Работает нормально. Существенных жалоб не имею.,0.0,0.0,
92,Выкидывает из приложения почти сразу,0.0,0.0,
93,"Это просто все убого. Приложение все хуже, поддержка ещё хуже. Жалко что нет достойных программистов все сыро.",0.0,0.0,
94,"Пожалуйста поменяйте иконку, сделайте посимпатичней!",0.0,0.0,
95,"Очень часто при оплате более тысячи рублей, не принимает подтверждение. При оплаье до тысячи всё работает.",1.0,2.0,
96,"Тормозуха, как и весь этот RuStore 👽☠️",0.0,,
97,"Мегафон, с рождеством вас и наступающим новым годом 💓спасибо вам и за секретаря Еву, супер девочка, классно отшивает всех спамеров и остальную мелочь. Удачи вам в новом году.",2.0,,
98,Все очень хорошо,2.0,,
99,Недавно установил на планшет. Не запускается. Удалил. Переустановил. Не запускается. Разработчики настоящие молодцы. Наша гордость. Так держать!,0.0,,
100,Привет я тебя люблю 😘,2.0,,
101,"Отсутствует поворот экрана, на Android TV  не возможно управлять всё боком.",0.0,0.0,
102,"Адью, псб... Подоился ты кешбеком хорошо. Приятно было пользоваться. Нынешние условия с января 23 по вашим карточкам-сами их и пользуйте. Образумитесь, может и вернусь к вам.",2.0,2.0,
103,Спасибо за ноябрьские и декабрьские акции! Хороший кешбек вышел.,2.0,,
104,Невозможно авторизоваться,0.0,,
105,Ответ разработчику: Хуавей П40 лайт (JNY-LX1). upd - на этом все или будет ответ какой?,0.0,,
106,Ответ разработчику: заработало! Спасибо!,2.0,,
107,"Сильно тормозит когда листаешь ленту,  плюс ещё нет половина функций, я не могу посмотреть что я лайкнул. У меня galaxy A73. И дело не в устройстве причин    зависания )",0.0,,
108,"Сильно тормозит когда листаешь ленту,  плюс ещё нет половина функций, я не могу посмотреть что я лайкнул. У меня galaxy A73. И дело не в устройстве причин    зависания )",0.0,,
109,"Глючит((( а так все ок! Выплата, пополнение,",0.0,,
110,Лучшее приложение для заказа майнинг ферм. Рекомендую!,2.0,0.0,
111,Лучшее приложение для заказа майнинг ферм. Рекомендую! Но лучше заказать целую сборку,2.0,0.0,
112,"Телефон Google pixel 4xl, не работает Face id, в других банках работает.",0.0,,
113,"Последнее время невозможно отменить условные заявки. Пишет- ошибка. С лимитными всё нормально. Приходится отменять на компе.Разработчики, срочно разберитесь.",0.0,,
114,Удобное и надёжное  приложение,2.0,,
115,"Бесполезное приложение , зачем его в таком виде запустили непонятно . Позор",0.0,0.0,
116,"Отличное приложение!Не надо зависеть от американцев,которые ввели санкций!",2.0,0.0,
117,"Само по себе приложение отличное. Но невозможно смотреть. Передача до рекламы, далее просит регистрацию, 10 раз решилась, все равно спрашивает. Последний раз, как обычно, попросил зарегистрироваться, но код та и не пришёл.. Печально",2.0,0.0,
118,Меня в прицыпе всё устраивает,2.0,,
119,"Надежно, как Ак47. Nfc, переводы СБП в обе стороны . Что то не смог оплатить баллами жкх ,раньше получалось...",2.0,,
120,"После загрузки зацикливается и не открывается. Разрабы халявщики, проверять надо, прежде, чем выкладывать обновление",2.0,,
121,Почему нельзя обновить приложение с вашего приложения???,0.0,0.0,
122,Почему нельзя обновить приложение с вашего приложени хотя с плей маркита обновляется и работает ???,0.0,0.0,
123,"Не работает. Сбросило все личные данные, утверждает, что отчество указываю неправильное. Поле для введения номера телефона не действует. На нажатие поля с подтверждения мыла не реагирует.",0.0,,
124,С какой стороны не пробуй зарегиться везде ошибка(((,0.0,,
125,"Приложение перестало открываться. Два дня не могу зайти. Сервер не доступен, повторите попытку позже. Калужская областная. Очень печально.",0.0,0.0,
126,"Приложение перестало открываться. Два дня не могу зайти. Сервер не доступен, повторите попытку позже. Калужская областная. Очень печально.",0.0,0.0,
127,"Вообще не удобное приложение для обновлений приложений.  Кошмар какой-то. Что нельзя сделать  одной кнопкой  "" Нажал и Обновил "" Лучше уж через Галакси или Гугл.  Работайте госпада Работайте.  Ни разу не хватило терпения чтобы обновить ",0.0,0.0,
